ID,Date,Time,Plate
Plate 1,2024-11-13,13-31-52,tn22ds2217
Plate 2,2024-11-13,13-31-53,tn22ds2217
Plate 3,2024-11-13,13-31-54,tn22ds2217
Plate 4,2024-11-13,13-31-56,tn22ds2217
Plate 5,2024-11-13,13-31-57,tn22ds2217
Plate 6,2024-11-13,13-31-58,tn22ds2217
Plate 7,2024-11-13,13-31-59,tn22ds2217
Plate 8,2024-11-13,13-32-00,tn22ds2217
Plate 9,2024-11-13,13-32-02,tn22ds2217
Plate 10,2024-11-13,13-32-03,tn22ds2217
Plate 11,2024-11-13,13-32-04,tn22ds2217
Plate 12,2024-11-13,13-32-05,tn22ds2217
Plate 13,2024-11-13,13-32-06,tn22ds2217
Plate 14,2024-11-13,13-32-08,tn22ds2217
Plate 15,2024-11-13,13-32-09,tn22ds2217
Plate 1,2024-11-13,13-33-15,tn22ds2217
Plate 2,2024-11-13,13-33-16,tn22ds2217
Plate 3,2024-11-13,13-33-17,tn22ds2217
Plate 4,2024-11-13,13-33-18,tn22ds2217
Plate 5,2024-11-13,13-33-20,tn22ds2217
Plate 6,2024-11-13,13-33-21,tn22ds2217
Plate 7,2024-11-13,13-33-22,tn22ds2217
Plate 8,2024-11-13,13-33-24,tn22ds2217
Plate 9,2024-11-13,13-33-25,tn22ds2217
Plate 1,2024-11-13,13-34-32,tn22ds2217
Plate 2,2024-11-13,13-34-33,tn22ds2217
Plate 3,2024-11-13,13-34-35,tn22ds2217
Plate 4,2024-11-13,13-34-36,tn22ds2217
Plate 5,2024-11-13,13-34-37,tn22ds2217
Plate 1,2024-11-13,13-35-42,tn22ds2217
Plate 2,2024-11-13,13-35-44,tn22ds2217
Plate 3,2024-11-13,13-35-45,tn22ds2217
Plate 4,2024-11-13,13-35-46,tn22ds2217
Plate 5,2024-11-13,13-35-48,tn22ds2217
Plate 1,2024-11-13,13:41:16,tn22ds2217
Plate 2,2024-11-13,13:41:17,tn22ds2217
Plate 3,2024-11-13,13:41:18,tn22ds2217
Plate 4,2024-11-13,13:41:20,tn22ds2217
Plate 5,2024-11-13,13:41:21,tn22ds2217
Plate 1,2024-11-13,13:44:04,abc123
Plate 2,2024-11-13,13:44:04,abc123
Plate 3,2024-11-13,13:44:04,abc123
Plate 4,2024-11-13,13:44:04,abc123
Plate 5,2024-11-13,13:44:04,abc123
Plate 1,2024-11-13,13:44:59,tn22ds2217
Plate 2,2024-11-13,13:45:00,tn22ds2217
Plate 3,2024-11-13,13:45:01,tn22ds2217
Plate 4,2024-11-13,13:45:02,tn22ds2217
Plate 5,2024-11-13,13:45:04,tn22ds2217
Plate 1,2024-11-13,13:46:49,tn22ds2217
Plate 2,2024-11-13,13:46:50,tn22ds2217
Plate 3,2024-11-13,13:46:51,tn22ds2217
Plate 4,2024-11-13,13:46:53,tn22ds2217
Plate 5,2024-11-13,13:46:54,tn22ds2217
Plate 1,2024-11-13,13:49:30,tn22ds2217
Plate 2,2024-11-13,13:49:31,tn22ds2217
Plate 3,2024-11-13,13:49:32,tn22ds2217
Plate 4,2024-11-13,13:49:33,tn22ds2217
Plate 5,2024-11-13,13:49:35,tn22ds2217
Plate 1,2024-11-13,13:52:27,tn22ds2217
Plate 2,2024-11-13,13:52:29,tn22ds2217
Plate 3,2024-11-13,13:52:30,tn22ds2217
Plate 4,2024-11-13,13:52:31,tn22ds2217
Plate 5,2024-11-13,13:52:32,tn22ds2217
Plate 1,2024-11-13,13:52:47,tn22ds2217
Plate 2,2024-11-13,13:52:49,tn22ds2217
Plate 3,2024-11-13,13:52:50,tn22ds2217
Plate 4,2024-11-13,13:52:51,tn22ds2217
Plate 5,2024-11-13,13:52:52,tn22ds2217
Plate 1,2024-11-13,13:53:10,tn22ds2217
Plate 2,2024-11-13,13:53:12,tn22ds2217
Plate 3,2024-11-13,13:53:13,tn22ds2217
Plate 4,2024-11-13,13:53:14,tn22ds2217
Plate 5,2024-11-13,13:53:15,tn22ds2217
Plate 1,2024-11-13,13-53-58,tn22ds2217
Plate 2,2024-11-13,13-54-00,tn22ds2217
Plate 3,2024-11-13,13-54-01,tn22ds2217
Plate 4,2024-11-13,13-54-03,tn22ds2217
Plate 5,2024-11-13,13-54-04,tn22ds2217
Plate 1,2024-11-13,13-56-35,mh01ej6666
Plate 2,2024-11-13,13-56-36,mh01ej6666
Plate 3,2024-11-13,13-56-38,mh01ej6666
Plate 4,2024-11-13,13-56-39,mh01ej6666
Plate 5,2024-11-13,13-56-41,mh01ej6666
Plate 1,2024-11-13,14-02-57,gj06lk0679
Plate 2,2024-11-13,14-02-58,gj06lk0679
Plate 3,2024-11-13,14-03-00,gj06lk0679
Plate 4,2024-11-13,14-03-02,gj06lk0679
Plate 5,2024-11-13,14-03-04,gj06lk0679
Plate 1,2024-11-13,14-10-18,gj06kj9075
Plate 2,2024-11-13,14-10-20,gj0faj9075
Plate 3,2024-11-13,14-10-21,gj06kj9875
Plate 4,2024-11-13,14-10-27,gj06xj9875
Plate 5,2024-11-13,14-10-29,gj06kj9875
Plate 1,2024-11-13,14-13-27,mw51vsu
Plate 2,2024-11-13,14-13-30,mw51vsu
Plate 3,2024-11-13,14-13-33,mw51vsu
Plate 4,2024-11-13,14-13-35,gx150gj
Plate 5,2024-11-13,14-13-38,na13nru
Plate 1,2024-11-13,14-25-13,mw51vsu
Plate 2,2024-11-13,14-25-15,mw51vsu
Plate 3,2024-11-13,14-25-18,mw51vsu
Plate 4,2024-11-13,14-25-21,gx150gj
Plate 5,2024-11-13,14-25-23,na13nru
Plate 1,2024-11-13,14-25-47,mw51vsu
Plate 2,2024-11-13,14-25-49,mw51vsu
Plate 3,2024-11-13,14-25-53,mw51vsu
Plate 4,2024-11-13,14-25-55,gx150gj
Plate 5,2024-11-13,14-25-58,na13nru
Plate 6,2024-11-13,14-26-01,gx150gj
Plate 7,2024-11-13,14-26-03,na13nru
Plate 8,2024-11-13,14-26-06,mw51vsu
Plate 9,2024-11-13,14-26-09,mw51vsu
Plate 1,2024-11-13,14-27-50,gj06kj9075
Plate 2,2024-11-13,14-27-52,gj0faj9075
Plate 3,2024-11-13,14-27-53,gj06kj9875
Plate 4,2024-11-13,14-27-55,gj06xj9875
Plate 5,2024-11-13,14-27-56,gj06kj9875
Plate 1,2024-11-13,14-28-09,gj06kj9075
Plate 2,2024-11-13,14-28-10,gj0faj9075
Plate 3,2024-11-13,14-28-12,gj06kj9875
Plate 4,2024-11-13,14-28-13,gj06xj9875
Plate 5,2024-11-13,14-28-15,gj06kj9875
Plate 1,2024-11-13,14-49-16,mw51vsu
